,name,category_1,category_2,origin,description
887,Tonoffier PeNe Zanlen L'Ange 1120 2010,Red Wine,Pinot Noir,"Willamette Valley, Oregon","Rich garnet in color, this wine offers aromas of sweet and sweetly ripened strawberries, cherries and black cherries with notes of sweet vanilla, brown sugar, spices, and minerals. The palate is generous and generous with flavors of blackberry Counselor, dark chocolate, and leather. It is soft and silky with a lingering finish. The tannins are soft and smooth, yet supple and well-integrated."
888,Patfard Chardonnay 2016,White Wine,Chardonnay,"Central Coast, California","The 2016 Central Coast Chardonnay has aromas of ripe apple and citrus, followed by subtle aromas of hazelnut and toasty oak. On the palate, flavors of pineapple, papaya and stone fruit are supported by rich flavors of vanilla and toast. The finish is bright and refreshing with lingering flavors of sweet citrus and minerality. The wine is ready to drink now, but will cellar well for the next 2 to 3 years. Enjoy this wine as an aperitif or with seafood, shellfish, salads, grilled seafood, creamy soups and cheese."
889,Mourtan Treves Vouve1da 2011,Red Wine,Other Red Blends,"Burgundy, France","The 2011 Treves Vouve1da is an excellent wine with all its flavors, especially red fruits such as cherry and plum. The mouth feel is medium-bodied with balanced acidity. It is an excellent wine to pair with grilled meat, game and traditional Mediterranean dishes such as stuffed peppers, tomatoes, and roasted vegetables."
891,Domaine des Besriestles Tire Vallay Red 1909,Red Wine,Pinot Noir,"Willamette Valley, Oregon","This wine is a true example of the terroir in the Willamette Valley.  The aromatics are filled with aromas of red fruits and mineral overtones.  The mouthfeel is soft, round, and supple.  The finish is very long and balanced with fresh acidity.  The tannins are well-integrated and well-balanced.  The wine is drinking beautifully now and will cellar well for the next 5 to 7 years.  The wine can be paired with a wide range of foods from roasted vegetables to roasted poultry, to grilled fish, veal, or veal stew."
892,Gorden Corpannino Biana Barbo 2009,Red Wine,Other Red Blends,"Tuscany, Italy","Red Wine.  The color isgersnack with brick red.  Aromas are intense, with typical notes of blackberry and plum.  On the palate, the wine is round, well-balanced and fresh, with velvety tannins and an excellent aftertaste."
894,Porgiadoacho 511 Diealo 1999,Red Wine,Other Red Blends,Chile,"511 Diealo is a very versatile wine. It is an excellent wine to pair with grilled fish, poultry, vegetables, spicy foods, smoked foods, mild cheeses and pasta with red sauces. It can also be served with roasted vegetables, roasted vegetables, vegetables, roasted vegetables, grilled vegetables and vegetables, grilled vegetables, roasted vegetables, grilled vegetables and roasted vegetables. Serve well-chilled. Serve well-chilled."
895,La Tobetrosk Chardonnay 2008,White Wine,Chardonnay,Chile,"The 2008 Chardonnay is a bright, refreshing wine. servants of the grape varietal are the basis of the blend, together with those of a touch of French oak.  The result is a wine with a lively, expressive and full-flavored character, with mineral, fresh apple, peach and toasted almond aromas.  The wine has a dry, round, round and fresh taste with well-balanced acidity.  The wine is an excellent companion to grilled fish, seafood, veal, chicken, poultry or creamy pasta dishes."
896,MaFgioni Torso Rirgsano 2017,White Wine,Riesling,"Sicily, Italy","Pale yellow in color with a slight greenish hue. The aromas are fresh and intense with citrus and floral notes. Flavors mirror aromas with balanced acidity and freshness. The aftertaste is fresh and intense, with a fresh and pleasant aftertaste.  acidity, residual sugar, freshness, and freshness. The aromatic characteristics of the grape are expressed in the taste with an optimal balance between the fruitiness and sweetness. The taste is fresh, fruity and well-rounded with a pleasant aftertaste."
898,Wolla Marsith Chiant Classico Chardonnay (OK Kosher) 2014,White Wine,Chardonnay,"Chiant Classico, Chiles, Napa Valley, California","The 2014 vintage of Marsith Chiant Classico Chardonnay is an intense wine with aromas of pear, apple and citrus. On the palate, it is rich, juicy and juicy with flavors of pear, melon, and honey. The mouthfeel is smooth with a touch of vanilla and hazelnut. The wine finishes long with mouth-coating acidity and balanced acidity."
899,Kon Pa Surali Vineyard Sauvignon Blanc 2001,White Wine,Sauvignon Blanc,"Sonoma County, California","The wine has aromas of melon, pear, and grapefruit, with hints of flintiness. The mouthfeel is soft, round, and flavorful with flavors of ripe grapefruit and melon. The mouth feel is medium to full bodied with a pleasant acidity. This wine is well-balanced with a lingering, fruity finish."
900,Folanabino Tillza's Gauvahi Reserve Cabernet Sauvignon 2001,Red Wine,Cabernet Sauvignon,Chile,"Deep garnet red color with intense aromas of blackberry, black cherry, vanilla, and coffee. Medium-bodied with a long finish and ripe tannins.  to Food Pairings: This wine will be best enjoyed with roasted, grilled, and grilled fish, poultry, and rich, creamy cheeses."
901,Seltiata Hancia Wines Abage 2013,Red Wine,Other Red Blends,Italy,"Deep ruby-red color with a nose of cherry, spices, blackberry, and a hint of floral notes.  A full-bodied wine with ripe fruit flavors and flavors of blackberries, cherries, and raspberries, with well-balanced acidity, good texture, and good structure."
902,Balminato Barolo Pinot Grigio Blancco 2018,White Wine,Pinot Gris/Grigio,"Barolo, Piedmont, Italy","Straw yellow with slight green tints, the wine offers up aromas of acacia, citrus fruits, flint and minerals. The palate offers a harmonious mix of fruits and soft, round, ripe tannins. A wine of great freshness, persistence and excellent balance."
903,Brunymoh Ognemle 2013,Red Wine,Other Red Blends,"Willamette Valley, Oregon","Ognemle is a multi-dimensional wine with aromas of blackberry, cherry, raspberry, and black currant. Aromas are also of vanilla, brown sugar, toast and sweet caramel. Flavors mirror aromas with bright flavors of blackberry, red cherry, and raspberry with flavors of dried herbs, cinnamon and sweet oak. The wine is very soft with round tannins that are very pleasant on the palate. The finish is long and fresh with lingering sweet flavors of berries and ripe red fruit."
904,Jodslon Peth Nesastle Vingers Zinfandel 2004,Red Wine,Zinfandel,"Sonoma County, California","This wine offers aromas of ripe blackberries and cherries with hints of vanilla and sweet, spicy oak. The mouthfeel is rich, round, and full of rich, sweet, ripe, full-flavored fruit flavors with a hint of oak. The finish is long, with round, well-integrated tannins and well-integrated acidity. It is ready to drink now and will cellar well for the next 2- 3 years. The aromas and flavors of this wine are complimented by its smooth, approachable texture, which makes it an ideal food companion."
905,Hour Gawnerr Cabernet Frion 2010,Red Wine,Bordeaux Red Blends,"Napa Valley, California","The 2010 vintage of Fronter Fronter's Cabernet Franc shows tremendous aromatics of black cherry, violets, violet and caramel with sweet vanilla and toast from barrel aging. The mouthfeel is rich, round and full of ripe fruit flavors with juicy mouth-coating tannins. The finish is long with great length and structure. The wine will continue to improve and gain complexity for the next 2- 3 years."
906,Jos' Stamet Sananzonni Cabetere Merlac 2016,Red Wine,Bordeaux Red Blends,"Napa Valley, California","This wine is the perfect introduction to the wine spectrum. The 2016 vintage was an ideal growing season with an average of more than 2.5 tons per acre. It is very drinkable now, and will cellar well for 3-5 years. The wine is a wonderful match for a wide variety of foods including beef, lamb, duck, and pork tenderloin with a touch of soy and herb reduction. It is also a good match for richly flavored dishes such as pasta in red sauce, grilled fish, and roasted vegetables."
907,Siello Seres Prote Red Blend 2016,Red Wine,Other Red Blends,"Prote Valley, Chile","The 2016 Prote de Siello Seres has an intense ruby red color with violet tones. The nose offers ripe red fruit aromas of red fruits, cherries, and berries with notes of flowers, cloves and licorice. The palate is smooth and balanced, with fresh acidity, ripe tannins, and a lingering finish."
908,Neyot Focker Estate Shiraz 1998,Red Wine,Syrah/Shiraz,Australia,"The colour is dark red with purple hues. The aroma is rich and powerful with the distinct scent of white pepper, blackberry and dark chocolate. The palate is soft and juicy with flavours of spicy blackcurrant, blueberries and sweet plum. The tannins are well integrated with the sweet fruit and the oak flavours, but not overpowering. The flavours linger on the palate well into the lingering aftertaste. The overall impression is an elegant and well balanced wine with a pleasant, spicy finish. The wine has a pleasingly long, pleasant finish. This is an excellent accompaniment to game, grilled steak, hearty sauces and stews. The wine is best drunk chilled."
909,Tartariebolt Brink Tolberts 2002,Red Wine,Other Red Blends,"Willamette Valley, Oregon","Brink Tolberts Vineyard is one of Oregoniel's premier growing areas. The vineyards are comprised of carefully tended vines with the goal to produce a wine that is accessible, yet well-balanced and flavorful. The result is a smooth, supple and fruity wine that is very well-suited to modern food styles.  The wine shows aromas of cherry and blackberry, with hints of clove and cedar.  On the palate, the wine is full-bodied with flavors of cherry, plum and blackberry with nuances of toast, vanilla and toasted oak.  The tannins are well-integrated and well-balanced.  The finish is long with lingering flavors of caramel, toast and cedar.  We suggest serving this wine at cellar temperature."
910,Anen Duills Chardete di Cabernet Sauvignon (3 Liter Black Suvatti Pinat Noir 2017,Red Wine,Cabernet Sauvignon,"Napa Valley, California","This terminally fresh, medium-bodied wine has aromas of black cherries, blackberries, and currants, with flavors of dried plums, blackberries, giveaway spice, and black pepper. The tannins are soft, round and well-integrated, offering a velvety mouthfeel. The mouthfeel is rich and generous with round, velvety tannins and juicy acidity, making this wine a great match for hearty foods such as roast chicken, roasted vegetables, roasted vegetables, pork tenderloin, and cheese plates."
911,Chateau Jomre Ferlenze Eniter Ord Zinffines 2016,Red Wine,Pinot Noir,Austria,"This wine has an elegant aroma, with fresh black cherries, blackberries and pomegranates.  On the palate, the wine is smooth and round, with nice acidity, freshness and good length.   .  aromas are classic Pinot Noir with subtle spices, licorice, and door spices."
913,Pieldsbards Wallesh-Genarger Riesling Pinot Gris 2012,White Wine,Pinot Gris/Grigio,"Willamette Valley, Oregon","The wine is pale straw in color. The nose offers bright aromas of pear, lemon, lime, tangerine, floral and honeysuckle. The mouthfeel is soft and juicy with flavors of pear, mineral, and a hint of flintiness. The mouthfeel is rich and round with flavors of mineral, pear, and flinty flavors. The finish is long and refreshing with flavors of pear, lemon, and flinty flavors. The mouthfeel is very enjoyable now and will cellar well for up to three years."
914,Boy Barrer Sonova Sauvignon Blan Selecte Pascian Rise 2014,White Wine,Sauvignon Blanc,"Sonoma County, California","The wine has a vibrant color attire with bright pale green and glints of yellow. Aromas of green apple, lime and lees, citrus and mineral, citrus blossom, honeysuckle, grapefruit, lees and toast, floral notes of orange blossom, and lees. The wine is full-bodied, with mouth-coating mouth-watering acidity, medium body, good balance between fruit, mineral, and acidity, and a lingering finish."
916,Folia Fourna Barolone 2015,Red Wine,Nebbiolo,"Barolo, Piedmont, Italy","Ruby red with violet tones. The nose is full of berry fruit and floral notes, with orange notes, and violet. On the palate, it is full and intense, with a very pleasant and lingering finish. A great companion for Mediterranean, Mediterranean and grilled fish. Serve well-chilled."
917,Arnodis Semilion Uvanetle's MeaCEtor Cabernet Soigano 2018,Red Wine,Other Red Blends,"Uvan, Bierzo, Spain","This wine is deep ruby red in color, with an attractive purple rim. On the nose, the wine is complex, with notes of blackberries, spices and vanilla. The mouthfeel is soft and sweet, well-balanced with round, well-integrated tannins. The wine is well-balanced with a pleasant finish."
919,Gayter Jack Peales Stata 2016,Red Wine,Bordeaux Red Blends,"Napa Valley, California  payday","The 2016 Stata Estate Cabernet Sauvignon has aromas of dried fruit and licorice with hints of caramel and spice. The palate offers flavors of cherry and currant with a hint of vanilla. The wine is medium bodied with ripe, round tannins that lead to a lingering finish. Enjoy this wine now and over the next 2- 3 years. Serve at cellar temperature."
920,Sten Nicketa Reserve Pinot Gris 2005,White Wine,Pinot Gris/Grigio,"Willamette Valley, Oregon","This Pinot Gris is straw in color with a slight golden hue. The aromas include apricot, pear, peach, honeysuckle and honey. The palate is soft and round with fruit flavors of honey, ripe pear, green apple and floral tones. This wine is well-balanced with refreshing acidity. The finish is clean and crisp. This wine is very versatile, and is an excellent food companion. Serve well chilled and enjoy now or cellar for up to five years."
921,Truck Wine D Vatarking la Cabernet Marlon 2011,Red Wine,Bordeaux Red Blends,"Napa Valley, California","This wine is full of ripe fruit flavors, red currants and black cherries. The aromas are intense and full of ripe fruit with fresh blackberries, black currants, blackberries and cherries with a hint of spice. The flavors mirror aromas with concentrated black fruits, cherries, strawberries, and blackberries with black pepper, cocoa, and toast. The tannins are soft and round, with the mouthfeel medium bodied with soft round tannins. This wine has good length on the palate and finishes with ripe and sweetly sweet fruit and sweetly sweet tannins."
923,BInWica Red Balbarzsnucro Colnami Roastana (375ML half-bottle) 2007,Red Wine,Other Red Blends,Chile,"Intense ruby red in color with violet tones. Very intense bouquet with aromas of mature fruits, cherries and plums with a touch of toastiness and vanilla. The palate is well-balanced, full and soft with good acidity. It is an easy to drink wine with good complexity and balance. It is an excellent wine for everyday occasions, particularly grilled fish such as hake, and pasta dishes with red sauce."
924,Liaune Lanomatoli Pernondany Vy Courte AuKlote Riesling 2007,White Wine,Riesling,"Piedmont, Italy","averaged 5% residual sugar.  An excellent companion for fish dishes and shellfish dishes with butter sauces.  Serve well chilled. . When young, enjoy with grilled fish, especially those fish in cream sauces, or with fresh cheese and white meats."
925,De Forens Ganton Barinas Comion Ca abigna Bunzadese 2009,Red Wine,Bordeaux Red Blends,Spain,"Complex, with fresh fruit and sweet spices. Medium-bodied, with velvety tannins. Long and persistent on the finish.. The 2009 Ganton Barinas Comitès is a blend of 80% Garnacha, 16% Cabernet Sauvignon, 4% Merlot and 3% Syrah. The wine was aged in stainless steel tanks for about 8 months. The blend of different vineyards resulted in a complex wine with excellent balance between the varietals. The result is a wine with a great complexity of flavors and aromas, an ideal match for grilled,Brook and smoked foods."
926,Girerie Cellary C51 Stwine Serrore 2012,White Wine,Other White Blends,"Central Coast, California","The wine is a pale yellow color with greenish hues. On the nose, aromas of ripe pear and stone fruit with toasted almond and vanilla notes. On the palate, the wine shows flavors of peach, apple, melon and pear with a hint of sweet oak. The wine finishes with sweet, juicy tannins and a hint of mineral overtones. The wine is best served chilled, but is also an excellent food companion."
927,Anbackilits Chardonnay 1999,White Wine,Chardonnay,Chile,"The wine has a medium-yellow color with green tints, it shows aromas of vanilla, toast and almonds.  The flavors mirror aromas with round, sweet and smooth mouthfeel with a touch of butteriness suspenseing a fresh and elegant finish..  potential for extended ageing."
928,Steado Terrare Vineyard Chardonnay 2009,White Wine,Chardonnay,Chile,"Pale yellow in color with green tints. Intense, fruity, and elegant aromas with light notes of pear and citrus, with a hint of mineral and mineralized undertones. Flavors mirror aromas with fruity flavors of pear, apple, and citrus. The wine is medium-bodied, with good acidity. The finish is long and fresh with mineral notes.  The 2009 Steado Chardonnay will pair well with seafood, shellfish and creamy sauces, as well as rich, spicy dishes."
929,Gurrenton Rose Erd Dhinuttive Windem Riesling 2017,Pink and Rosé,Rosé,"Rheingau, Germany","Dhinuttive Windem Riesling is an interesting and versatile wine. It can be paired with smoked salmon, shellfish, chicken and other seafood. The wine is also a good companion to Asian cuisine.  wine. Serve slightly chilled."
930,Spoffenter Coast Stage Hord Pinot Noir 2015,Red Wine,Pinot Noir,"Willamette Valley, Oregon","The 2015 Stage Hord Vineyard Pinot Noir has aromas of ripe cherries, blueberries, raspberries, strawberries, cherries, blueberries, and cherries, with hints of spice and toast. On the palate, the wine is full of ripe fruit, with ripe berries and ripe cherries. The mouthfeel is medium-bodied with round tannins and nice acidity."
931,Edrepallo Resters Refiche 2013,Red Wine,Other Red Blends,"Ribera del Duero, Spain","This wine has a garnet-red color with violet tones. It has aromas of ripe fruit with hints of pepper, mint, leather, and violets. On the palate, it is well-balanced, fresh and well-rounded with an excellent acidity and well-integrated oak. The finish is long with a pleasing minerality."
932,Froewyon Cabernet Sauvignon Tero Alora Bernonze 2002,Red Wine,Cabernet Sauvignon,Chile,"Bernonze is a classic wine which is a blend of a number of vineyards, with grapes from the Maule and Uco regions, as well as other vineyards located at the uppermost part of the Andes Mountains. It is the old style of wine: deep ruby-red in color, with intense, complex aromas and flavors, a firm structure, great intensity, and a long finish."
933,Bodisaszy Fodrers  ba 1997,White Wine,Other White Blends,"Willamette Valley, Oregon","Our 1997 Fodersba is a blend of Riesling, Pinot Noir, Riesling, Viognier and Riesling.  The fruit is sourced from vineyards in the Willamette Valley of Oregon, the Riesling and Viognier from the Riesling and Pinot Noir from the Willamette Valley of Oregon and the Riesling and Riesling from the Willamette Valley of Oregon.  The result is a wine with wonderful balance between fruit and acidity.  The aromas are classic ripe pear, apricot, sweet flower, and citrus.  The flavors mirror aromas with ripe fruit and sweet spices, balanced by a touch of sweetness from the barrel, and balanced by fresh acidity from the natural fermentation.  The mouthfeel is round and soft, with an excellent balance between the fruit and alcohol.  The finish is long and fruity with lingering sweet lingering flavors."
934,BraVidola Spion Daro Anca Gionto 2013,Red Wine,Other Red Blends,"Sicily, Italy","Intense ruby red. Sweet fruit aromas of red fruit, cherry, currant, with hints of violet. Flavors mirror aromas with a pleasing touch of vanilla. Full bodied wine with soft tannins and a long and fruity finish. Serve with roasted red meat, grilled fish, Mediterranean cheeses, pizza, pasta with red sauce, tomato sauces and with light red sauces."
935,Louis D'Cou Mantily Sauvignon Blanc 2005,White Wine,Sauvignon Blanc,"Marlborough, New Zealand","The 2005 Mantily is a very clean and direct style of wine. A pure and racy style of wine Furmint, flint and mineral notes give the wine a distinctive edge. The wine has a distinctively dry and Unleashable style of flavors that make it an ideal match for dishes that have a good intensity of flavor and texture. The overall impression of this wine is of intense and pure fruit with a mineral edge. The wine is best enjoyed chilled. Serve well-chilled. Serve well-chilled."
936,Andeszol Vinfandel 2012,Red Wine,Other Red Blends,"Colchagua Valley, Rapel Valley, Chile","Aromas of cherries and blackberries. Flavors mirror aromas with nuances of black pepper and spices. Tannins are ripe and velvety, with good structure and a long finish.  Serve well-chilled.   Serve well-chilled.   Serve well-chilled."
937,Durmonde Riesling 19 COssaroad Montabiei Vigna Pinot Grigio 2011,White Wine,Pinot Gris/Grigio,"Rheingau, Germany","Fragrant and full-flavored with refreshing acidity and a hint of residual sugar, this wine will be an excellent companion to spicy Asian foods, as well as cheeses, shellfish and poultry."
938,Iima Serotow Chardonnay 2005,White Wine,Chardonnay,Chile,"This wine is an excellent companion for seafood, particularly crab, shellfish in cream sauce, grilled fish, especially when cooked in cream sauces, chicken, veal, pork dishes with cream sauces, and rice dishes. ., and mild cheese such as rice and rice dishes with creamy sauces.  Serve at a temperature of 64-68 degrees F."
939,Verts Sainta Sauvignon Blanc 2009,White Wine,Sauvignon Blanc,"Marlborough, New Zealand","Vibrant aromas of lees-coated stone fruits, gooseberries, citrus and melon. The palate is crisp and dry Rebecca style, with flavors of lemon zest, passionfruit and grapefruit, with a good acid balance.  acidity, mineral and salty finish. The wine has a long, clean and refreshing finish."
940,Castilo & Vins Conek Chardonnay 2009,White Wine,Chardonnay,Chile,"This is a medium-bodied wine with departing aromas of white fruits, almonds, hazelnuts, pineapple, and apricot. It is rich and smooth on the palate, and has good acidity. The balance between fruit, oak, and acidity results in a mouth-filling wine with a crisp, long finish."
942,Araito Cabernet Sauvignon 2014,Red Wine,Cabernet Sauvignon,"Colchagua Valley, Rapel Valley, Chile","This is an expressive wine with a deep ruby red color. The nose reveals ripe red fruits such as cherries and plums, together with toasted and sweet spices such as tobacco, cinnamon, black pepper and sweet vanilla. On the palate, it is round and well-rounded, with fresh and round tannins that round out the long finish."
943,Tyrrano Rid 2014,Red Wine,Other Red Blends,"Central Coast, California","This 2014 vintage of Rid offers up aromas of ripe strawberries and cherries with spicy overtones. The mouthfeel is silky smooth with bright flavors of strawberries, cherries, and red cherries with hints of red pepper and earth. The wine is medium-bodied with mouth-coating tannins that are well-integrated with an off-dry acidity. The finish is long, smooth, and medium-long-long-lasting."
944,Blatimis Pinot Grigio 1997,White Wine,Pinot Gris/Grigio,"Friuli-Venezia Giulia, Italy","Bright yellow with greenish reflections.  The bouquet is refreshing and pleasing with subtle hints of pear and apple.  Fresh and well-balanced with medium acidity and round, well-balanced sweetness.  Serve slightly chilled.  Ideal as an aperitif."
945,Santasbai halferelo Noray Granden Chardonnay (1.5 L)ter Magchum 2004,White Wine,Chardonnay,Chile,"The halferelo is a white wine produced from 100% Chardonnay grapes.  It is a crisp, fresh, fruity wine with an aroma of apple and pear and a hint of hazelnut.  On the palate, it is medium-bodied, well-balanced and very refreshing.  It is a perfect companion for seafood, grilled fish and shellfish dishes with a slight chill."
946,Chanley Wine Familyen Unexen. Ancedustin Cabernet Sauvignon 2015,Red Wine,Cabernet Sauvignon,"Napa Valley, California","The 2015 Unexen Cabernet is a wine of elegance, elegance, and complexity. This is a wine that will stand up to richly flavored foods and will continue to improve for the next 2- 3 years. It is also very approachable now, and will cellar well for up to 5 years."
947,Itheyari Reserve Cabernet Sauvignon 2012,Red Wine,Cabernet Sauvignon,"Napa Valley, California","The 2012 Reserve Cabernet Sauvignon is an outstanding wine with aromas of cherry, cedar, and mineral, and flavors of plum, fig, blackberry and cassis. The wine's weight and structure are complemented by well-integrated tannins, excellent balance, and a lengthy finish. Enjoy this wine now or cellar for up to three years. The wine's finesse and ageability make it a good match for grilled and lightly grilled foods, roasted vegetables, and roasted tomatoes."
948,Mosin Hirs Wine Chegtanicure Chardonnay 2015,White Wine,Chardonnay,"Chehalem Mountains, Willamette Valley, Oregon","The 2015 vintage of the ‘Hirs’ Chardonnay is an excellent expression of the Chehalem Mountains terroir. The aromas and flavors mirror the aromas with a hint of floral notes, white flowers, and minerals. The mouthfeel is fresh and fruity, with a lingering finish that is clean and refreshing. The wine is best consumed chilled and is a great companion for food and fish."
949,Bargadpe Croffi Surai Napa La Vierco 2011,Red Wine,Other Red Blends,"Central Coast, California","The 2011 Croffi Surai is a blend of 80% Sangiovese Micro-T, 8% Cabernet Sauvignon, 6% Merlot and 4% Cabernet Franc. The wine is deep, bright and lively with aromas of fresh red fruits, floral notes, cocoa, and earth. The mouthfeel is medium-bodied with silky, round tannins that are well-integrated, smooth and very pleasant. The finish is long and persistent with lingering flavors of cherries and spices. The wine is an excellent match for grilled tuna, tuna-stuffed veal chops and roasted vegetables."
950,Chateau Saint-Brod iatmectes 2015,White Wine,Other White Blends,"Friuli-Venezia Giulia, Italy","Straw yellow in color, this wine has intense aromas of fresh fruit with mineral notes. It is a well-balanced wine with medium acidity, good freshness, good body, and a long finish.  wine-making tips:"
952,Coloma Valitanionegres Red Bellima Wines Greg (375ML halff-bottle) 2001,Red Wine,Bordeaux Red Blends,"Central Coast, California","The Greg is our third release of a wine made from our oldest vineyard Dinner Vineyard vines. The vines are very close to our hearts, as the vines that we produce wine from are planted on their own roots in the same soil. The vines are over 100 years old and are planted on the North-East facing slope at an elevation of about 3,000 feet. These grapes produce wines of great concentration, flavor and character. The wine is a blend of the classic Bordeaux varieties Merlot, Cabernet Sauvignon, Cabernet Franc, and Syrah."
953,Badolia CarneHa Ondiwi Cabernet Sauvignon 2011,Red Wine,Cabernet Sauvignon,Chile,"A ruby red wine with violet tones, this wine shows aromas of black cherries, blackberries, currants and spices. The palate is smooth and generous with sweet and round tannins and is well balanced with good acidity.  potential for bottle aging. A great companion for roasted meat, game and dishes with sweet or sweetened sauces."
954,Foncug Numbino rina 1998,Red Wine,Other Red Blends,"Central Coast, California","Numbino is a blend of Carmenere, Carignane, Cabernet Sauvignon, and Merlot grapes grown on the Estate.  The grapes are grown on a small and low-yielding vineyard in the Santa Rita Hills.  The wine is then fermented and aged in oak barrels for fu-nish of 8 months.  This wine is a blend of the classic varietals of the Carmenere grapes, with Cabernet Sauvignon contributing backbone and richness, Merlot adding roundness, richness, and roundness, and Carmenere giving color and intensity.  It has aromas of blackberries and spice, with flavors of cherry and currants.  This wine is well-balanced with medium-bodied tannins and a lingering finish.   Enjoy with roasted and grilled red meats, game, and chocolate desserts."
955,Miravelle MiqSuhpianon Famrelo 2015,Red Wine,Bordeaux Red Blends,"Sicily, Italy","A deep red ruby-colored wine with intense aromas of ripe red fruits. Fresh and soft on the palate, with a smooth, balanced acidity. It is well-suited for grilled fish, grilled or marinated red meats, cheeses, pasta and pastas with hearty sauces."
956,Alberps Marico Vineyards Teda Pinot Noir 2007,Red Wine,Pinot Noir,"Willamette Valley, Oregon","Our 2007Teda is medium garnet in color with vibrant aromas of strawberry, rose petals, and spice. The palate is rich and round with flavors of ripe red fruits, with a touch of earthiness and a hint of toastiness. The tannins are soft and round with a long, round finish. This wine is a great companion to grilled fish, shellfish, poultry, veal, and vegetable dishes."
957,Robfown Greilba Coast Chardonnay 2014,White Wine,Chardonnay,"North Coast, California","Aromas of pear, honeysuckle and nutmeg. The flavors mirror aromas with pear, melon and tropical fruit flavors with hints of vanilla and vanilla from the barrel. The mouthfeel is round with sweet, juicy tannins. Flavors mirror aromas with fresh pear, apple and a hint of minerality. The wine is well balanced with acidity. The finish is long with lingering notes of spice and ripe fruit."
958,Sevbang Thuria Grafina Chardonnay 2005,White Wine,Chardonnay,Chile,"dropped, cool-fermented, sur-lies aging in stainless steel. The result is a wine with bright aromas of pear and citrus, with a touch of minerality. Medium-bodied, with fresh acidity, well-balanced with a good balance between sugar and acidity, and a good length on the palate."
959,Con Masalo Vitagerialltas Russiatt Selection Medos Red 2007,Red Wine,Bordeaux Red Blends,Italy,"The wine is intense ruby red with Lochical tones.  The nose is full of aromas of red fruits, especially cherries, plums and prunes.  On the palate, the wine is full and round, well-structured with balanced, pleasant tannins.  The wine is well-balanced and well-integrated, and offers a good level of alcohol.  The finish is long, with pleasant toasted tones.  The wine is drinkable now, and will cellar well for 2- 3 years.  The wine is best served with hearty foods, especially rich dishes with sweet peppers, tomatoes, meat sauces and hard cheeses."
960,Baronta Do a Tordi Vinesidina Valloge De Canay 2003,Red Wine,Other Red Blends,Chile,"The wine is a good match for grilled or roasted red meats, poultry and pasta dishes with tomato sauces.  The wine is also a good companion to smoked and lightly grilled fish..  wine-maker's Notes: The wine is an excellent companion for dishes that feature dried herbs, especially basil, as well as dishes that feature roasted vegetables, especially cabbage and spinach.   Serve at a temperature of about 60°F.  The wine is an excellent companion to dishes that feature dried herbs, especially basil, as well as dishes that feature roasted vegetables plate-fermented with fresh herbs, as well as pasta dishes with tomatoes, cream sauces, roasted vegetables, tomatoes and cheese.  Serve at a temperature of about 60°F.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature.  Serve at room temperature."
961,TFica Grang Rig + Fa'm Blancs Syrah 2014,Red Wine,Syrah/Shiraz,"Napa Valley, California","Aromas of blackberries, plums, cherries and currants with hints of vanilla. Flavors mirror aromas with blackberries, plums, blueberries, currants, vanilla, cocoa, licorice and spicy flavors. The mouthfeel is soft and round with well-integrated tannins and good acidity. The wine is well-balanced, complex and balanced."
962,Martetastan Vineyards Cabernet Sauvignon 2016,Red Wine,Cabernet Sauvignon,"Napa Valley, California","The 2016 vintage produced wines with beautiful color and intense aromas of bright ruby and black cherries with an appealing touch of mocha and tobacco leaf. Flavors mirror aromas with hints of raspberry, black cherry, and cassis. The mouth feel is soft, round, well-rounded, and supp field ripe tannins and sweet oak toast. The finish is long and smooth."
963,Tuntallo Pinot Noir 2008,Red Wine,Pinot Noir,"Willamette Valley, Oregon","The 2008 Pinot Noir Tuntallo is a wine of great structure and depth. The nose offers intense aromas of blackberries, cherries, vanilla, and sweet tobacco, with a hint of anise. The mouthfeel is rich and supple, with soft, round tannins on the finish. The wine has a pleasant mouth-watering acidity, which will help it to drink well now and for the next 2-3 years. The mouth feel is round and rounder than the nose suggests, with juicy, sweet tannins and a hint of spice on the finish. The wine is enjoyable now and will cellar well for 2-3 years. We suggest this wine to be paired with dishes that feature flavors that complement its fresh fruit character. This wine is a great food companion now, and will continue to improve over the next 2- 3 years. The wine is ready to drink now, but will cellar well for 4 to 5 years.  This wine will pair well with grilled fish, especially Northwest Salmon, roasted vegetables, and a wide range of grilled foods."
964,Herlark Woderia Collomi Pinot Noir 2013,Red Wine,Pinot Noir,"Yamhill-Carlton District, Willamette Valley, Oregon","Rich aromatics of sweet, juicy cherry and red fruit. Fresh and full bodied with a long finish. The 2013 vintage is very expressive of the vineyard's terroir. The wine is easy to drink now, and will cellar well for 5-8 years. Pair with grilled fish, poultry, grilled vegetables, or pasta with roasted tomatoes."
